circuit,attack_type,noise_rate,num_qubits,original_depth,modified_depth,original_gates,modified_gates,tvd,prediction,anomaly_probability,risk_score,risk_level,status
hs4_n4.qasm,multiple_gate_insertion,0.01,4,10,10,32,34,0.995,1,0.675,67.5,MEDIUM,SUCCESS
inverseqft_n4.qasm,normal,0.01,4,12,12,19,19,0.035,0,0.0,0.0,LOW,SUCCESS
inverseqft_n4.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: <Clbit register=(1, ""c0""), index=0>"
inverseqft_n4.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: <Clbit register=(1, ""c0""), index=0>"
inverseqft_n4.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: <Clbit register=(1, ""c0""), index=0>"
inverseqft_n4.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,"FAILED: <Clbit register=(1, ""c0""), index=0>"
ipea_n2.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
ipea_n2.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
ipea_n2.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
ipea_n2.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
ipea_n2.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
ising_n10.qasm,normal,0.01,10,71,71,490,490,0.805,0,0.075,7.5,LOW,SUCCESS
ising_n10.qasm,gate_insertion,0.01,10,71,71,490,491,0.81,1,0.97,97.0,HIGH,SUCCESS
ising_n10.qasm,gate_deletion,0.01,10,71,71,490,489,0.84,1,0.96,96.0,HIGH,SUCCESS
ising_n10.qasm,gate_substitution,0.01,10,71,71,490,490,0.83,1,0.83,83.0,HIGH,SUCCESS
ising_n10.qasm,multiple_gate_insertion,0.01,10,71,71,490,492,0.85,1,0.96,96.0,HIGH,SUCCESS
iswap_n2.qasm,normal,0.01,2,8,8,11,11,0.025,0,0.0,0.0,LOW,SUCCESS
iswap_n2.qasm,gate_insertion,0.01,2,8,8,11,12,0.56,1,1.0,100.0,HIGH,SUCCESS
iswap_n2.qasm,gate_deletion,0.01,2,8,7,11,10,0.99,1,0.985,98.5,HIGH,SUCCESS
iswap_n2.qasm,gate_substitution,0.01,2,8,8,11,11,0.965,1,1.0,100.0,HIGH,SUCCESS
iswap_n2.qasm,multiple_gate_insertion,0.01,2,8,10,11,13,0.99,1,1.0,100.0,HIGH,SUCCESS
linearsolver_n3.qasm,normal,0.01,3,12,12,22,22,0.13,0,0.005,0.5,LOW,SUCCESS
linearsolver_n3.qasm,gate_insertion,0.01,3,12,12,22,23,0.77,1,1.0,100.0,HIGH,SUCCESS
linearsolver_n3.qasm,gate_deletion,0.01,3,12,12,22,21,0.865,1,0.93,93.0,HIGH,SUCCESS
linearsolver_n3.qasm,gate_substitution,0.01,3,12,12,22,22,0.42,0,0.45,45.0,MEDIUM,SUCCESS
linearsolver_n3.qasm,multiple_gate_insertion,0.01,3,12,13,22,24,0.175,0,0.085,8.5,LOW,SUCCESS
lpn_n5.qasm,normal,0.01,5,5,5,16,16,0.1,0,0.0,0.0,LOW,SUCCESS
lpn_n5.qasm,gate_insertion,0.01,5,5,5,16,17,0.95,1,0.99,99.0,HIGH,SUCCESS
lpn_n5.qasm,gate_deletion,0.01,5,5,5,16,15,0.6,1,1.0,100.0,HIGH,SUCCESS
lpn_n5.qasm,gate_substitution,0.01,5,5,5,16,16,0.505,1,0.99,99.0,HIGH,SUCCESS
lpn_n5.qasm,multiple_gate_insertion,0.01,5,5,6,16,18,0.995,1,1.0,100.0,HIGH,SUCCESS
pea_n5.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
pea_n5.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
pea_n5.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
pea_n5.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
pea_n5.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: ctu'
qaoa_n3.qasm,normal,0.01,3,12,12,18,18,0.065,0,0.0,0.0,LOW,SUCCESS
qaoa_n3.qasm,gate_insertion,0.01,3,12,12,18,19,1.0,1,0.98,98.0,HIGH,SUCCESS
qaoa_n3.qasm,gate_deletion,0.01,3,12,10,18,17,1.0,1,0.995,99.5,HIGH,SUCCESS
qaoa_n3.qasm,gate_substitution,0.01,3,12,12,18,18,1.0,1,0.995,99.5,HIGH,SUCCESS
qaoa_n3.qasm,multiple_gate_insertion,0.01,3,12,13,18,20,1.0,1,0.995,99.5,HIGH,SUCCESS
qaoa_n6.qasm,normal,0.01,6,110,110,276,276,0.35,0,0.11,11.0,LOW,SUCCESS
qaoa_n6.qasm,gate_insertion,0.01,6,110,110,276,277,0.405,1,0.51,51.0,MEDIUM,SUCCESS
qaoa_n6.qasm,gate_deletion,0.01,6,110,110,276,275,0.375,0,0.455,45.5,MEDIUM,SUCCESS
qaoa_n6.qasm,gate_substitution,0.01,6,110,110,276,276,0.35,1,0.855,85.5,HIGH,SUCCESS
qaoa_n6.qasm,multiple_gate_insertion,0.01,6,110,111,276,278,0.415,1,1.0,100.0,HIGH,SUCCESS
qec_en_n5.qasm,normal,0.01,5,18,18,30,30,0.14,0,0.01,1.0,LOW,SUCCESS
qec_en_n5.qasm,gate_insertion,0.01,5,18,18,30,31,0.575,0,0.405,40.5,MEDIUM,SUCCESS
qec_en_n5.qasm,gate_deletion,0.01,5,18,17,30,29,0.19,0,0.42,42.0,MEDIUM,SUCCESS
qec_en_n5.qasm,gate_substitution,0.01,5,18,18,30,30,0.6,1,0.93,93.0,HIGH,SUCCESS
qec_en_n5.qasm,multiple_gate_insertion,0.01,5,18,19,30,32,0.77,1,0.6,60.0,MEDIUM,SUCCESS
qec_sm_n5.qasm,normal,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: syndrome'
qec_sm_n5.qasm,gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: syndrome'
qec_sm_n5.qasm,gate_deletion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: syndrome'
qec_sm_n5.qasm,gate_substitution,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: syndrome'
qec_sm_n5.qasm,multiple_gate_insertion,0.01,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,Not evaluated,FAILED: 'unknown instruction: syndrome'
qft_n4.qasm,normal,0.01,4,9,9,17,17,0.14,0,0.0,0.0,LOW,SUCCESS
qft_n4.qasm,gate_insertion,0.01,4,9,9,17,18,0.12,1,0.97,97.0,HIGH,SUCCESS
qft_n4.qasm,gate_deletion,0.01,4,9,9,17,16,0.12,1,0.62,62.0,MEDIUM,SUCCESS
qft_n4.qasm,gate_substitution,0.01,4,9,9,17,17,0.48,1,0.975,97.5,HIGH,SUCCESS
qft_n4.qasm,multiple_gate_insertion,0.01,4,9,9,17,19,0.19,0,0.13,13.0,LOW,SUCCESS
qpe_n9.qasm,normal,0.01,9,21,21,42,42,0.24,0,0.0,0.0,LOW,SUCCESS
qpe_n9.qasm,gate_insertion,0.01,9,21,22,42,43,0.365,1,0.835,83.5,HIGH,SUCCESS
qpe_n9.qasm,gate_deletion,0.01,9,21,17,42,41,0.4,1,1.0,100.0,HIGH,SUCCESS
qpe_n9.qasm,gate_substitution,0.01,9,21,21,42,42,0.41,1,0.925,92.5,HIGH,SUCCESS
qpe_n9.qasm,multiple_gate_insertion,0.01,9,21,22,42,44,0.375,1,0.98,98.0,HIGH,SUCCESS
