circuit_name,num_qubits,attack_type,noise_rate,tvd,risk_score,expected_label,predicted_label,correct
bell_n4.qasm,4,Normal,0.03,0.225,45.75,0,0,True
bell_n4.qasm,4,Gate Insertion,0.03,0.255,96.53,1,1,True
bell_n4.qasm,4,Gate Deletion,0.03,0.265,37.03,1,0,False
bell_n4.qasm,4,Gate Substitution,0.03,0.36,96.07,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.03,0.335,71.59,1,1,True
bell_n4.qasm,4,Normal,0.04,0.24,37.03,0,0,True
bell_n4.qasm,4,Gate Insertion,0.04,0.255,96.53,1,1,True
bell_n4.qasm,4,Gate Deletion,0.04,0.285,37.03,1,0,False
bell_n4.qasm,4,Gate Substitution,0.04,0.355,93.17,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.04,0.335,71.59,1,1,True
bell_n4.qasm,4,Normal,0.05,0.27,37.03,0,0,True
bell_n4.qasm,4,Gate Insertion,0.05,0.27,96.54,1,1,True
bell_n4.qasm,4,Gate Deletion,0.05,0.29,70.54,1,1,True
bell_n4.qasm,4,Gate Substitution,0.05,0.34,95.27,1,1,True
bell_n4.qasm,4,Multiple Gate Insertion,0.05,0.355,79.21,1,1,True
cat_state_n4.qasm,4,Normal,0.005,0.035,4.9,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.005,0.035,99.01,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.005,0.545,98.76,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.005,0.465,99.5,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.005,0.025,4.9,1,0,False
cat_state_n4.qasm,4,Normal,0.01,0.05,5.73,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.01,0.065,99.16,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.01,0.525,98.78,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.01,0.45,99.43,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.01,0.085,5.73,1,0,False
cat_state_n4.qasm,4,Normal,0.02,0.105,8.66,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.02,0.105,98.12,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.02,0.495,99.06,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.02,0.455,99.01,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.02,0.14,19.26,1,0,False
cat_state_n4.qasm,4,Normal,0.03,0.1,6.58,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.03,0.125,98.61,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.03,0.495,99.06,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.03,0.445,98.56,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.03,0.1,6.58,1,0,False
cat_state_n4.qasm,4,Normal,0.04,0.145,19.26,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.04,0.135,98.61,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.04,0.58,99.06,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.04,0.425,98.45,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.04,0.155,19.26,1,0,False
cat_state_n4.qasm,4,Normal,0.05,0.155,19.26,0,0,True
cat_state_n4.qasm,4,Gate Insertion,0.05,0.21,98.43,1,1,True
cat_state_n4.qasm,4,Gate Deletion,0.05,0.575,99.06,1,1,True
cat_state_n4.qasm,4,Gate Substitution,0.05,0.435,98.51,1,1,True
cat_state_n4.qasm,4,Multiple Gate Insertion,0.05,0.21,33.63,1,0,False
deutsch_n2.qasm,2,Normal,0.005,0.035,5.15,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.005,0.015,99.06,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.005,0.47,98.69,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.005,0.47,99.52,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.005,0.995,99.52,1,1,True
deutsch_n2.qasm,2,Normal,0.01,0.09,8.65,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.01,0.09,98.97,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.01,0.55,98.84,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.01,0.515,99.58,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.01,0.975,99.53,1,1,True
deutsch_n2.qasm,2,Normal,0.02,0.075,6.16,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.02,0.105,98.21,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.02,0.515,99.11,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.02,0.47,99.06,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.02,0.94,99.64,1,1,True
deutsch_n2.qasm,2,Normal,0.03,0.1,6.9,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.03,0.115,98.16,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.03,0.545,99.11,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.03,0.51,99.68,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.03,0.925,99.64,1,1,True
deutsch_n2.qasm,2,Normal,0.04,0.115,10.58,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.04,0.14,98.68,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.04,0.54,99.11,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.04,0.44,98.59,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.04,0.885,99.64,1,1,True
deutsch_n2.qasm,2,Normal,0.05,0.16,20.07,0,0,True
deutsch_n2.qasm,2,Gate Insertion,0.05,0.18,98.51,1,1,True
deutsch_n2.qasm,2,Gate Deletion,0.05,0.53,99.11,1,1,True
deutsch_n2.qasm,2,Gate Substitution,0.05,0.495,99.68,1,1,True
deutsch_n2.qasm,2,Multiple Gate Insertion,0.05,0.845,99.64,1,1,True
dnn_n2.qasm,2,Normal,0.005,0.26,47.44,0,0,True
dnn_n2.qasm,2,Gate Insertion,0.005,0.43,87.87,1,1,True
dnn_n2.qasm,2,Gate Deletion,0.005,0.315,69.93,1,1,True
dnn_n2.qasm,2,Gate Substitution,0.005,0.25,47.44,1,0,False
